Class, Fan-In
org/jfree/chart/renderer/xy/XYSplineRenderer$XYSplineState,1
org/jfree/data/general/SeriesChangeListener,1
org/jfree/chart/swing/Overlay,1
org/jfree/data/time/Month,1
org/jfree/chart/event/ChartProgressListener,1
org/jfree/chart/renderer/WaferMapRenderer,1
org/jfree/chart/annotations/CategoryAnnotation,1
org/jfree/chart/event/ChartChangeListener,1
org/jfree/chart/axis/NumberTickUnit,1
org/jfree/chart/encoders/EncoderUtil,1
org/jfree/chart/entity/TickLabelEntity,1
org/jfree/chart/plot/dial/DialLayerChangeListener,1
org/jfree/chart/legend/LegendItemSource,1
org/jfree/data/xy/IntervalXYZDataset,1
org/jfree/chart/swing/OverlayChangeEvent,1
org/jfree/chart/renderer/category/CategoryItemRendererState,1
org/jfree/chart/event/AxisChangeEvent,1
org/jfree/data/xy/XYRangeInfo,1
org/jfree/data/general/DatasetChangeEvent,1
org/jfree/chart/encoders/SunJPEGEncoderAdapter,1
org/jfree/data/json/JSONUtils,1
org/jfree/data/DomainInfo,1
org/jfree/chart/renderer/OutlierListCollection,1
org/jfree/chart/renderer/category/StackedBarRenderer,1
org/jfree/data/xy/YIntervalDataItem,1
org/jfree/chart/renderer/category/IntervalBarRenderer,1
org/jfree/chart/axis/CategoryAxis,1
org/jfree/chart/renderer/xy/StackedXYAreaRenderer$StackedXYAreaRendererState,1
org/jfree/chart/event/RendererChangeEvent,1
org/jfree/chart/renderer/OutlierList,1
org/jfree/chart/event/TitleChangeListener,1
org/jfree/data/statistics/Regression,1
org/jfree/chart/labels/StandardCategoryToolTipGenerator,1
org/jfree/chart/axis/AxisState,1
org/jfree/data/KeyToGroupMap,1
org/jfree/chart/plot/CategoryCrosshairState,1
org/jfree/data/json/impl/JSONStreamAware,1
org/jfree/chart/renderer/xy/XYAreaRenderer$XYAreaRendererState,1
org/jfree/data/gantt/TaskSeriesCollection,1
org/jfree/chart/event/AxisChangeListener,1
org/jfree/chart/swing/editor/ChartEditorFactory,1
org/jfree/chart/event/MarkerChangeListener,1
org/jfree/chart/plot/PlotRenderingInfo,0
org/jfree/chart/axis/DateTickUnit,0
org/jfree/data/general/KeyedValues2DDataset,0
org/jfree/chart/swing/editor/DefaultPolarPlotEditor,0
org/jfree/chart/plot/CombinedDomainXYPlot,0
org/jfree/chart/renderer/LookupPaintScale$PaintItem,0
org/jfree/chart/text/format/HexNumberFormat,0
org/jfree/chart/labels/IntervalXYItemLabelGenerator,0
org/jfree/chart/renderer/xy/WindItemRenderer,0
org/jfree/chart/plot/PolarPlot,0
org/jfree/chart/labels/StandardPieToolTipGenerator,0
org/jfree/data/time/DynamicTimeSeriesCollection,0
org/jfree/chart/text/format/package-info,0
org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator,0
org/jfree/chart/plot/DatasetRenderingOrder,0
org/jfree/chart/block/RectangleConstraint,0
org/jfree/chart/axis/AxisLocation,0
org/jfree/data/flow/FlowKey,0
org/jfree/chart/plot/DialShape,0
org/jfree/chart/labels/IntervalXYToolTipGenerator,0
org/jfree/data/xy/DefaultTableXYDataset,0
org/jfree/chart/plot/pie/PieLabelDistributor,0
org/jfree/chart/swing/ChartFrame,0
org/jfree/chart/event/package-info,0
org/jfree/chart/imagemap/DynamicDriveToolTipTagFragmentGenerator,0
org/jfree/chart/renderer/xy/StandardXYItemRenderer,0
org/jfree/chart/entity/StandardEntityCollection,0
org/jfree/chart/plot/dial/StandardDialRange,0
org/jfree/chart/urls/CustomPieURLGenerator,0
org/jfree/chart/renderer/xy/CyclicXYItemRenderer,0
org/jfree/chart/plot/Plot,0
org/jfree/data/xy/XYBarDataset,0
org/jfree/chart/plot/dial/StandardDialScale,0
org/jfree/chart/legend/LegendTitle,0
org/jfree/data/statistics/HistogramType,0
org/jfree/chart/api/RectangleEdge$1,0
org/jfree/data/xy/XYDatasetTableModel,0
org/jfree/chart/renderer/xy/CyclicXYItemRenderer$OverwriteDataSet,0
org/jfree/data/statistics/DefaultMultiValueCategoryDataset,0
org/jfree/chart/annotations/XYDataImageAnnotation,0
org/jfree/chart/axis/ModuloAxis,0
org/jfree/chart/text/TextBox,0
org/jfree/data/function/LineFunction2D,0
org/jfree/chart/urls/XYZURLGenerator,0
org/jfree/chart/util/StandardGradientPaintTransformer,0
org/jfree/chart/legend/LegendRenderingOrder,0
org/jfree/chart/axis/DateAxis$DefaultTimeline,0
org/jfree/chart/api/package-info,0
org/jfree/chart/ChartColor,0
org/jfree/chart/ChartHints$Key,0
org/jfree/chart/swing/ChartPanel,0
org/jfree/chart/entity/TitleEntity,0
org/jfree/chart/encoders/ImageFormat,0
org/jfree/chart/annotations/XYTitleAnnotation,0
org/jfree/data/statistics/DefaultBoxAndWhiskerXYDataset,0
org/jfree/data/general/AbstractDataset,0
org/jfree/chart/title/ImageTitle$1,0
org/jfree/chart/api/VerticalAlignment,0
org/jfree/chart/renderer/LookupPaintScale,0
org/jfree/chart/labels/IntervalCategoryToolTipGenerator,0
org/jfree/chart/renderer/xy/XYDifferenceRenderer,0
org/jfree/chart/plot/dial/DialPointer$Pin,0
org/jfree/chart/renderer/xy/XYBoxAndWhiskerRenderer,0
org/jfree/data/time/Minute,0
org/jfree/chart/axis/AxisCollection$1,0
org/jfree/chart/labels/StandardCrosshairLabelGenerator,0
org/jfree/chart/plot/compass/MeterNeedle,0
org/jfree/chart/plot/compass/LineNeedle,0
org/jfree/chart/axis/MonthDateFormat,0
org/jfree/chart/labels/IntervalCategoryItemLabelGenerator,0
org/jfree/data/json/impl/JSONArray,0
org/jfree/chart/annotations/CategoryLineAnnotation,0
org/jfree/chart/swing/editor/DefaultLogAxisEditor,0
org/jfree/chart/axis/NumberAxis,0
org/jfree/chart/plot/ThermometerPlot,0
org/jfree/chart/swing/ApplicationFrame,0
org/jfree/chart/block/ColorBlock,0
org/jfree/chart/entity/ChartEntity,0
org/jfree/chart/text/TextUtils,0
org/jfree/chart/entity/NodeEntity,0
org/jfree/data/KeyedObject,0
org/jfree/chart/plot/compass/ShipNeedle,0
org/jfree/chart/renderer/category/MinMaxCategoryRenderer,0
org/jfree/chart/plot/RingPlot,0
org/jfree/chart/text/TextFragment,0
org/jfree/data/general/DefaultPieDataset,0
org/jfree/chart/JFreeChart,0
org/jfree/chart/renderer/category/LevelRenderer,0
org/jfree/chart/entity/XYAnnotationEntity,0
org/jfree/chart/renderer/AreaRendererEndType,0
org/jfree/chart/block/BorderArrangement,0
org/jfree/chart/plot/compass/CompassPlot,0
org/jfree/chart/renderer/xy/DefaultXYItemRenderer,0
org/jfree/data/general/SeriesDataset,0
org/jfree/chart/plot/dial/StandardDialFrame,0
org/jfree/data/time/ohlc/OHLCSeries,0
org/jfree/data/general/KeyedValueDataset,0
org/jfree/chart/imagemap/StandardURLTagFragmentGenerator,0
org/jfree/chart/entity/CategoryItemEntity,0
org/jfree/chart/date/SerialDate,0
org/jfree/chart/renderer/xy/XYLineAndShapeRenderer$State,0
org/jfree/chart/annotations/XYDrawableAnnotation,0
org/jfree/data/category/IntervalCategoryDataset,0
