Class, Fan-In
org/jfree/chart/event/AnnotationChangeEvent,0
org/jfree/chart/swing/editor/DefaultChartEditor,0
org/jfree/chart/swing/UIUtils,0
org/jfree/data/xy/VectorXYDataset,0
org/jfree/chart/legend/LegendItemBlockContainer,0
org/jfree/data/general/DefaultKeyedValuesDataset,0
org/jfree/chart/urls/CustomCategoryURLGenerator,0
org/jfree/chart/labels/StandardXYZToolTipGenerator,0
org/jfree/chart/renderer/PolarItemRenderer,0
org/jfree/data/xy/YIntervalSeriesCollection,0
org/jfree/chart/block/AbstractBlock,0
org/jfree/chart/plot/compass/ArrowNeedle,0
org/jfree/data/gantt/Task,0
org/jfree/chart/block/CenterArrangement,0
org/jfree/chart/annotations/Annotation,0
org/jfree/data/function/PolynomialFunction2D,0
org/jfree/data/xy/OHLCDataItem,0
org/jfree/chart/plot/ValueMarker,0
org/jfree/chart/api/LengthAdjustmentType,0
org/jfree/chart/plot/SpiderWebPlot,0
org/jfree/data/general/KeyedValuesDataset,0
org/jfree/chart/plot/CategoryPlot,0
org/jfree/chart/plot/Marker,0
org/jfree/chart/renderer/category/AbstractCategoryItemRenderer,0
org/jfree/data/resources/DataPackageResources_pl,0
org/jfree/data/general/DefaultKeyedValueDataset,0
org/jfree/data/flow/package-info,0
org/jfree/data/statistics/BoxAndWhiskerItem,0
org/jfree/chart/StandardChartTheme$1,0
org/jfree/data/xy/NormalizedMatrixSeries,0
org/jfree/chart/event/ChartChangeEvent,0
org/jfree/data/ComparableObjectItem,0
org/jfree/chart/swing/editor/DefaultNumberAxisEditor,0
org/jfree/chart/renderer/category/BoxAndWhiskerRenderer,0
org/jfree/chart/title/CompositeTitle,0
org/jfree/chart/annotations/AbstractXYAnnotation,0
org/jfree/chart/labels/ItemLabelPosition,0
org/jfree/data/xml/CategoryDatasetHandler,0
org/jfree/data/time/TimeSeriesTableModel,0
org/jfree/chart/annotations/AbstractAnnotation,0
org/jfree/chart/labels/ItemLabelAnchor,0
org/jfree/chart/text/TextBlockAnchor,0
org/jfree/chart/api/UnitType,0
org/jfree/data/time/TimeSeriesDataItem,0
org/jfree/chart/labels/XYZToolTipGenerator,0
org/jfree/chart/renderer/xy/XYSplineRenderer$FillType,0
org/jfree/data/statistics/StatisticalCategoryDataset,0
org/jfree/chart/axis/CategoryAxis$1,0
org/jfree/chart/axis/DateTickUnitType,0
org/jfree/chart/plot/CrosshairState,0
org/jfree/chart/event/ChartProgressEvent,0
org/jfree/chart/labels/PieSectionLabelGenerator,0
org/jfree/chart/swing/editor/DefaultPlotEditor,0
org/jfree/chart/internal/PaintUtils,0
org/jfree/chart/renderer/category/WaterfallBarRenderer,0
org/jfree/data/xy/XYSeriesCollection,0
org/jfree/data/general/DefaultKeyedValues2DDataset,0
org/jfree/data/xml/CategorySeriesHandler,0
org/jfree/chart/api/Layer,0
org/jfree/chart/axis/LogarithmicAxis,0
org/jfree/data/json/package-info,0
org/jfree/data/xy/AbstractIntervalXYDataset,0
org/jfree/data/xy/XisSymbolic,0
org/jfree/chart/axis/Tick,0
org/jfree/chart/plot/dial/package-info,0
org/jfree/chart/renderer/package-info,0
org/jfree/data/category/CategoryToPieDataset,0
org/jfree/chart/encoders/ImageEncoderFactory,0
org/jfree/data/time/DateRange,0
org/jfree/chart/plot/pie/package-info,0
org/jfree/chart/renderer/xy/AbstractXYItemRenderer$1,0
org/jfree/chart/renderer/xy/XYBarRenderer,0
org/jfree/chart/axis/Timeline,0
org/jfree/chart/plot/CenterTextMode,0
org/jfree/chart/axis/PeriodAxis,0
org/jfree/chart/legend/LegendGraphic,0
org/jfree/chart/plot/dial/DialCap,0
org/jfree/chart/swing/editor/PaintSample,0
org/jfree/chart/api/Rotation,0
org/jfree/chart/legend/PaintScaleLegend,0
org/jfree/chart/renderer/xy/XYLineAndShapeRenderer,0
org/jfree/chart/axis/QuarterDateFormat,0
org/jfree/data/general/ValueDataset,0
org/jfree/chart/renderer/category/GradientBarPainter,0
org/jfree/chart/renderer/xy/StandardXYBarPainter,0
org/jfree/chart/ChartElement,0
org/jfree/chart/text/package-info,0
org/jfree/data/json/impl/JSONObject,0
org/jfree/chart/labels/HighLowItemLabelGenerator,0
org/jfree/chart/plot/flow/package-info,0
org/jfree/chart/renderer/GrayPaintScale,0
org/jfree/chart/swing/package-info,0
org/jfree/chart/text/G2TextMeasurer,0
org/jfree/chart/title/package-info,0
org/jfree/chart/axis/CategoryLabelPositions,0
org/jfree/chart/labels/StandardXYSeriesLabelGenerator,0
org/jfree/data/xy/XYSeries,0
org/jfree/chart/plot/SeriesRenderingOrder,0
org/jfree/chart/axis/AxisLabelLocation,0
org/jfree/data/time/Quarter,0
org/jfree/chart/urls/StandardPieURLGenerator,0
org/jfree/chart/ChartFactory,0
org/jfree/chart/title/TextTitle,0
org/jfree/data/KeyedValueComparatorType,0
org/jfree/chart/encoders/package-info,0
org/jfree/data/xml/DatasetTags,0
org/jfree/chart/entity/AxisEntity,0
org/jfree/chart/labels/StandardXYItemLabelGenerator,0
org/jfree/chart/plot/dial/AbstractDialLayer,0
org/jfree/chart/plot/dial/DialScale,0
org/jfree/chart/renderer/category/GanttRenderer,0
